entity;entity_display_order;entity_description_en;end;cns;locns;upcns;sex;period_5;country;metadata
180;25;Breast;5;64.499496;62.66069;66.273544;2;1970;Norway;sortorder[entity_display_order period_5 sex]
180;25;Breast;10;50.246895;47.499001;52.928406;2;1970;Norway;
180;25;Breast;5;68.568825;66.972313;70.10627;2;1975;Norway;
180;25;Breast;10;53.81942;51.376076;56.196518;2;1975;Norway;
180;25;Breast;5;72.776573;71.338112;74.156479;2;1980;Norway;
180;25;Breast;10;58.854031;56.652359;60.985054;2;1980;Norway;
180;25;Breast;5;74.81366;73.469872;76.100899;2;1985;Norway;
180;25;Breast;10;61.960911;59.865665;63.981739;2;1985;Norway;
180;25;Breast;5;77.006195;75.743019;78.213394;2;1990;Norway;
180;25;Breast;10;65.132912;63.128292;67.058578;2;1990;Norway;
180;25;Breast;5;82.504059;81.349472;83.594559;2;1995;Norway;
180;25;Breast;10;73.52327;71.615265;75.325958;2;1995;Norway;
180;25;Breast;5;84.439804;83.329308;85.48291;2;2000;Norway;
180;25;Breast;10;75.670319;73.868027;77.368004;2;2000;Norway;
180;25;Breast;5;86.881081;85.807037;87.879684;2;2005;Norway;
180;25;Breast;10;79.06955;77.262329;80.751518;2;2005;Norway;
180;25;Breast;5;88.894913;87.894882;89.817184;2;2010;Norway;
180;25;Breast;10;82.270569;80.381172;83.996513;2;2010;Norway;
180;25;Breast;5;90.383392;89.431282;91.253967;2;2015;Norway;
180;25;Breast;10;83.45533;81.4105;85.295906;2;2015;Norway;
240;34;Prostate;5;51.725952;48.470776;54.878654;1;1970;Norway;
240;34;Prostate;10;33.661236;30.481661;36.865715;1;1970;Norway;
240;34;Prostate;5;51.858372;48.683884;54.934486;1;1975;Norway;
240;34;Prostate;10;35.93779;32.852669;39.029133;1;1975;Norway;
240;34;Prostate;5;55.548561;52.108498;58.845612;1;1980;Norway;
240;34;Prostate;10;38.784328;35.336868;42.214985;1;1980;Norway;
240;34;Prostate;5;53.23764;49.845844;56.507412;1;1985;Norway;
240;34;Prostate;10;37.530426;34.528492;40.527607;1;1985;Norway;
240;34;Prostate;5;63.008221;60.582981;65.329399;1;1990;Norway;
240;34;Prostate;10;44.713299;42.115826;47.274754;1;1990;Norway;
240;34;Prostate;5;74.20443;72.452919;75.863838;1;1995;Norway;
240;34;Prostate;10;59.074028;57.070518;61.018219;1;1995;Norway;
240;34;Prostate;5;83.223457;82.019112;84.355011;1;2000;Norway;
240;34;Prostate;10;72.454758;70.731285;74.096107;1;2000;Norway;
240;34;Prostate;5;89.698441;88.76152;90.561462;1;2005;Norway;
240;34;Prostate;10;83.015144;81.531639;84.391151;1;2005;Norway;
240;34;Prostate;5;94.298401;93.552238;94.960556;1;2010;Norway;
240;34;Prostate;10;89.300064;87.71817;90.689133;1;2010;Norway;
240;34;Prostate;5;94.908386;94.133873;95.583046;1;2015;Norway;
240;34;Prostate;10;89.746971;87.942207;91.29509;1;2015;Norway;
